trial_id,offence_pp_general,offence_pp,pp_sentence_years,trial_month,trial_year,trial_place,pris_ht_pp,def_age_pp,def_literacy,def_religion_pp,marital_status_pp,children_nr,cash_sav_pp,occupation_pp,coloffence_info,offence_ni,death_in_custody_pp,length_of_stay_until_probat,length_of_stay_until_tl,previous_convictions
695735,SEXUAL,RAPE,99.0,3,1844,UNKNOWN,165.1,25.0,2.0,Protestant,S,2.0,48.0,FARM LABOURER,False,False,False,3.824657534246575,9.652054794520549,False
695736,SEXUAL,RAPE,99.0,2,1844,UNKNOWN,165.1,44.0,2.0,Protestant,S,2.0,48.0,BOATMAN,False,True,False,3.824657534246575,9.169863013698631,False
695737,STEALING,BURGLARY,10.0,8,1843,UNKNOWN,167.64,31.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,False,False,2.841095890410959,7.795890410958904,False
695738,STEALING,BURGLARY,10.0,3,1844,STAFFORD,170.18,49.0,2.0,Protestant,M,11.0,48.0,SHOEMAKER,False,False,False,2.841095890410959,4.257534246575342,False
695739,ASSAULT,CUTTING,15.0,3,1844,UNKNOWN,167.64,23.0,1.0,Protestant,S,2.0,48.0,FARM LABOURER,False,False,False,2.841095890410959,7.795890410958904,False
695740,STEALING,BURGLARY,10.0,4,1844,CENTRAL CRIMINAL COURT,162.56,23.0,1.0,Protestant,S,2.0,48.0,UNKNOWN,False,False,False,2.841095890410959,7.795890410958904,False
695741,STEALING,BURGLARY,99.0,11,1843,CENTRAL CRIMINAL COURT,180.34,27.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
695742,ROBBERY,HIGHWAY_ROBBERY,99.0,3,1844,UNKNOWN,165.1,27.0,0.0,UNKNOWN,S,2.0,48.0,LABOURER,False,False,True,3.649315068493151,7.795890410958904,False
695743,ROBBERY,HIGHWAY_ROBBERY,99.0,3,1844,UNKNOWN,172.72,26.0,2.0,Protestant,S,2.0,48.0,FARM LABOURER,False,True,False,3.665753424657534,9.405479452054795,False
695744,UNKNOWN,UNKNOWN,99.0,4,1844,CENTRAL CRIMINAL COURT,165.1,36.0,3.0,UNKNOWN,S,2.0,12.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
