trial_id,offence_pp_general,offence_pp,pp_sentence_years,trial_month,trial_year,trial_place,pris_ht_pp,def_age_pp,def_literacy,def_religion_pp,marital_status_pp,children_nr,cash_sav_pp,occupation_pp,coloffence_info,offence_ni,death_in_custody_pp,length_of_stay_until_probat,length_of_stay_until_tl,previous_convictions
695735,SEXUAL,RAPE,"(15.0, 99.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(162.56, 165.1]","(23.0, 28.0]",Read or Both Little,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",FARM LABOURER,No Colony Offence,No Offence in NI,Did Not Die in Custody,"(3.649, 30.929]","(7.796, 27.433]",No Previous Convictions
695736,SEXUAL,RAPE,"(15.0, 99.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(162.56, 165.1]","(28.0, 70.0]",Read or Both Little,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",BOATMAN,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(3.649, 30.929]","(7.796, 27.433]",No Previous Convictions
695737,STEALING,BURGLARY,"(0.999, 10.0]","(7.0, 9.0]","(1839.0, 1843.0]",UNKNOWN,"(165.1, 167.64]","(28.0, 70.0]",Read and Write,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",UNKNOWN,No Colony Offence,No Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695738,STEALING,BURGLARY,"(0.999, 10.0]","(0.999, 3.0]","(1843.0, 1845.0]",STAFFORD,"(167.64, 200.66]","(28.0, 70.0]",Read or Both Little,Protestant,M,"(2.0, 12.0]","(-0.001, 48.0]",SHOEMAKER,No Colony Offence,No Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695739,ASSAULT,CUTTING,"(10.0, 15.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(165.1, 167.64]","(20.0, 23.0]",Read Little,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",FARM LABOURER,No Colony Offence,No Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695740,STEALING,BURGLARY,"(0.999, 10.0]","(3.0, 7.0]","(1843.0, 1845.0]",CENTRAL CRIMINAL COURT,"(121.919, 162.56]","(20.0, 23.0]",Read Little,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",UNKNOWN,No Colony Offence,No Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695741,STEALING,BURGLARY,"(15.0, 99.0]","(9.0, 12.0]","(1839.0, 1843.0]",CENTRAL CRIMINAL COURT,"(167.64, 200.66]","(23.0, 28.0]",Read and Write,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",UNKNOWN,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695742,ROBBERY,HIGHWAY_ROBBERY,"(15.0, 99.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(162.56, 165.1]","(23.0, 28.0]",Illiterate,UNKNOWN,S,"(-0.001, 2.0]","(-0.001, 48.0]",LABOURER,No Colony Offence,No Offence in NI,Died in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695743,ROBBERY,HIGHWAY_ROBBERY,"(15.0, 99.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(167.64, 200.66]","(23.0, 28.0]",Read or Both Little,Protestant,S,"(-0.001, 2.0]","(-0.001, 48.0]",FARM LABOURER,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(3.649, 30.929]","(7.796, 27.433]",No Previous Convictions
695744,UNKNOWN,UNKNOWN,"(15.0, 99.0]","(3.0, 7.0]","(1843.0, 1845.0]",CENTRAL CRIMINAL COURT,"(162.56, 165.1]","(28.0, 70.0]",Read and Write,UNKNOWN,S,"(-0.001, 2.0]","(-0.001, 48.0]",UNKNOWN,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695745,STEALING,BURGLARY,"(0.999, 10.0]","(3.0, 7.0]","(1843.0, 1845.0]",CENTRAL CRIMINAL COURT,"(165.1, 167.64]","(20.0, 23.0]",Read and Write,Roman Catholic,S,"(-0.001, 2.0]","(-0.001, 48.0]",UNKNOWN,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695746,STEALING,BURGLARY,"(15.0, 99.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(162.56, 165.1]","(28.0, 70.0]",Read or Both Little,UNKNOWN,S,"(-0.001, 2.0]","(-0.001, 48.0]",SHOEMAKER,No Colony Offence,No Offence in NI,Died in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
695747,STEALING,BURGLARY,"(10.0, 15.0]","(0.999, 3.0]","(1843.0, 1845.0]",UNKNOWN,"(167.64, 200.66]","(28.0, 70.0]",Read or Both Little,Protestant,M,"(2.0, 12.0]","(-0.001, 48.0]",SHOEMAKER,No Colony Offence,Has Offence in NI,Did Not Die in Custody,"(1.717, 3.649]","(2.9090000000000003, 7.796]",No Previous Convictions
